0,00-00-2000 00:00,No Fault,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,ALL OFF
1,04-12-2025 10:33,No Fault,0.0,0.0,105,105,0.0,0,0.0,0,0.0,0.0,ALL OFF
3,04-12-2025 10:33,OverVoltage,47.12,0.25,105,105,4.023,12,2.042,15,27.2,24.96,DSG ON
5,04-12-2025 10:33,OverVoltage,47.11,0.33,105,105,4.032,12,2.043,15,27.11,25.01,DSG ON
7,04-12-2025 10:34,OverVoltage,47.17,0.25,105,105,4.019,12,2.063,15,27.09,24.98,DSG ON
9,04-12-2025 10:34,OverVoltage,47.17,0.33,105,105,4.006,12,2.065,15,27.07,24.85,DSG ON
11,04-12-2025 10:34,OverVoltage,47.16,0.25,105,105,4.013,12,2.057,15,27.04,24.98,DSG ON
13,04-12-2025 10:34,OverVoltage,47.15,0.25,105,105,4.011,12,2.068,15,26.98,24.85,DSG ON
15,04-12-2025 10:34,OverVoltage,47.15,0.25,105,105,4.03,12,2.07,15,26.78,24.96,DSG ON
17,04-12-2025 10:34,OverVoltage,47.11,0.33,105,105,4.025,12,2.063,15,26.78,25.01,DSG ON
19,04-12-2025 10:34,OverVoltage,47.05,0.33,105,105,4.031,12,2.06,15,26.78,25.01,DSG ON
21,04-12-2025 10:34,OverVoltage,47.19,0.25,105,105,4.02,12,2.058,15,26.78,25.05,DSG ON
23,04-12-2025 10:34,OverVoltage,47.18,0.25,105,105,4.0,12,2.062,15,26.78,24.98,DSG ON
25,04-12-2025 10:34,OverVoltage,47.13,0.42,105,105,4.03,12,2.06,15,26.78,24.96,DSG ON
27,04-12-2025 10:34,OverVoltage,47.1,0.33,105,105,4.005,12,2.031,15,26.78,24.98,DSG ON
29,04-12-2025 10:34,OverVoltage,47.05,0.33,105,105,4.0,12,2.06,15,26.78,25.05,DSG ON
31,04-12-2025 10:34,OverVoltage,47.14,0.33,105,105,4.005,12,2.037,15,26.78,24.96,DSG ON
33,04-12-2025 10:34,OverVoltage,47.12,0.25,105,105,4.016,12,2.072,15,26.78,25.12,DSG ON
35,04-12-2025 10:35,OverVoltage,47.1,0.25,105,105,4.016,12,2.034,15,26.78,25.03,DSG ON
37,04-12-2025 10:35,OverVoltage,47.09,0.25,105,105,4.027,12,2.026,15,26.78,25.01,DSG ON
39,04-12-2025 10:35,OverVoltage,47.12,0.42,105,105,4.035,12,2.058,15,26.75,24.92,DSG ON
